"","MM","PCM","GIP","GIP+"
"α = 0, b/h=10","205.5","205.5","  - ","  - "
"α = 0, b/h=30","206.0","206.0","  - ","  - "
"α = 0, b/h=50","206.0","206.0","  - ","  - "
"α = 0.25, b/h=10","205.6","205.6","  - ","  - "
"α = 0.25, b/h=30","206.1","206.1","  - ","  - "
"α = 0.25, b/h=50","206.1","206.1","  - ","  - "
"α = 0.50, b/h=10","225.1","217.1","216.9","213.4"
"α = 0.50, b/h=30","239.2","224.9","224.8","217.1"
"α = 0.50, b/h=50","251.9","231.9","231.8","218.9"
"α = 0.75, b/h=10","303.4","245.2","244.4","234.1"
"α = 0.75, b/h=30","399.3","296.1","293.5","249.9"
"α = 0.75, b/h=50","481.7","343.0","338.7","260.3"
"α = 1, b/h=10","397.3","283.8","280.8","263.3"
"α = 1, b/h=30","592.8","390.6","380.9","299.3"
"α = 1, b/h=50","769.5","491.5","474.5","327.5"
