"","MM","PCM","GIP","GIP+"
"α = 0, b/h=10","485.0","484.8","  - ","  - "
"α = 0, b/h=30","486.0","486.0","  - ","  - "
"α = 0, b/h=50","486.0","486.0","  - ","  - "
"α = 0.25, b/h=10","694.8","538.4","537.1","506.8"
"α = 0.25, b/h=30","917.5","599.0","590.6","510.8"
"α = 0.25, b/h=50","1121.6","647.1","645.5","510.1"
"α = 0.50, b/h=10","1072.0","640.6","631.7","564.7"
"α = 0.50, b/h=30","1974.1","837.8","811.2","592.2"
"α = 0.50, b/h=50","2876.1","1017.0","965.0","603.0"
"α = 0.75, b/h=10","1497.0","759.9","737.0","661.4"
"α = 0.75, b/h=30","3214.3","1140.3","1071.8","710.9"
"α = 0.75, b/h=50","4931.7","1502.4","1016.3","838.7"
"α = 1, b/h=10","1939.2","891.6","854.5","779.4"
"α = 1, b/h=30","4505.1","1491.7","1361.2","985.7"
"α = 1, b/h=50","7071.1","2079.0","1854.9","1187.6"
