"","T = 5","T = 10","T = 20"
"α = 0, b/h=10","10.4","54.1","892.5"
"α = 0, b/h=30","8.7","56.2","955.4"
"α = 0, b/h=50","8.7","55.8","941.3"
"α = 0.25, b/h=10","10.1","54.2","7598.6"
"α = 0.25, b/h=30","8.6","56.4","8589.3"
"α = 0.25, b/h=50","8.6","56.3","6922.4"
"α = 0.50, b/h=10","29.5","232.9","15253.5"
"α = 0.50, b/h=30","17.9","177.1","20108.6"
"α = 0.50, b/h=50","17.7","114.3","46672.6"
"α = 0.75, b/h=10","64.3","392.0","26410.2"
"α = 0.75, b/h=30","73.7","396.2","26451.6"
"α = 0.75, b/h=50","68.8","411.1","71067.8"
"α = 1, b/h=10","98.4","431.3","31845.5"
"α = 1, b/h=30","77.6","692.8","79430.8"
"α = 1, b/h=50","72.4","710.3","86891.9"
